trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,1,3,2,5.07,5.82,2,2,3
2,2,3,2,3.98,4.76,1,2,3
3,2,4,4,5.64,5.64,1,2,4
4,2,3,2,2.73,3.66,1,2,3
5,2,4,1,2.24,2.93,2,1,4
6,1,3,1,3.35,4.6,1,1,3
7,2,4,4,3.99,3.99,1,2,4
8,2,3,3,3.31,4.05,1,2,3
9,2,3,3,4.19,4.95,1,2,3
10,1,4,2,3.8,4.68,2,2,4
11,1,4,1,2.59,3.34,1,1,4
12,2,3,4,4.02,4.02,2,1,3
13,1,3,3,2.3,3.26,1,1,3
14,1,4,4,4.86,5.65,1,1,4
15,1,3,4,2.31,6.1,2,2,3
16,2,4,3,2.79,3.74,2,1,4
17,2,3,4,5.19,5.19,2,1,3
18,2,3,2,2.78,3.61,1,2,3
19,2,4,4,3.24,3.24,1,2,4
20,2,4,4,3.24,3.24,1,2,4
21,1,3,2,2.03,2.89,2,2,3
22,2,4,4,2.86,2.86,1,2,4
23,2,3,2,2.7,3.43,1,2,3
24,1,4,4,3.23,3.23,1,1,4
25,2,4,3,6.43,7.27,2,1,4
26,1,4,1,3.26,4.05,1,1,4
27,1,3,4,2.84,2.84,2,2,3
28,1,3,3,3,3.71,1,1,3
29,2,3,2,2.81,3.47,1,2,3
30,1,4,1,3.02,4.22,1,1,4
31,2,4,4,3.83,3.83,1,2,4
32,2,4,3,2.49,3.19,2,1,4
33,2,4,3,4.61,6.11,2,1,4
34,1,3,2,3.34,4.09,2,2,3
35,2,4,4,2.86,2.86,1,2,4
36,1,4,3,2.51,3.16,2,2,4
37,2,4,3,3.47,5.41,2,1,4
38,2,3,1,2.9,3.53,2,1,3
39,1,4,3,3.79,4.56,2,2,4
40,1,4,1,2.36,3.2,1,1,4
41,2,4,3,2.91,3.68,2,1,4
42,2,3,2,3.27,4,1,2,3
43,2,4,4,1.71,2.92,1,2,4
44,1,4,1,2.68,3.66,1,1,4
45,2,4,4,2,3.95,1,2,4
46,2,3,3,2.66,3.39,1,2,3
47,2,3,2,2.34,3.09,1,2,3
48,2,3,4,5.13,5.13,2,1,3
49,2,4,3,3.07,3.7,2,1,4
50,2,4,2,2.65,3.31,1,2,4
51,1,3,4,1.52,4.27,2,2,3
52,2,3,,,,3,1,3
53,2,4,4,8.06,8.06,1,2,4
54,1,4,1,10.23,10.98,1,1,4
55,1,3,4,1.89,10.8,2,2,3
56,1,4,3,11.49,12.56,2,2,4
57,2,4,4,5.6,5.6,1,2,4
58,2,3,2,6.27,7.21,1,2,3
59,1,4,4,7.2,7.85,1,1,4
60,2,4,2,7.73,8.5,1,2,4
61,1,3,1,6.49,7.21,1,1,3
62,1,3,2,2.33,3.12,2,2,3
63,2,3,4,3.87,3.87,2,1,3
64,2,4,2,3.88,4.65,1,2,4
65,1,4,4,5.43,5.43,1,1,4
66,1,4,2,7.54,8.27,2,2,4
67,2,3,1,3.73,4.42,2,1,3
68,2,4,3,3.76,4.79,2,1,4
69,1,4,,,,3,2,4
70,2,3,2,3.36,4.08,1,2,3
71,1,4,2,2.94,4.02,2,2,4
72,2,4,,,,3,1,4
73,1,3,1,3.44,4.12,1,1,3
74,1,3,2,4.09,5.06,2,2,3
75,2,3,2,4.26,5.16,1,2,3
76,2,4,4,4.4,4.4,1,2,4
77,1,4,4,6.8,6.8,1,1,4
78,1,3,3,4.06,4.73,1,1,3
