trial,correct_p1,correct_p2,chosen_arm,reaction_time,arm_response_time,trial_outcome,irrelevant_stimuli_p1,irrelevant_stimuli_p2
1,2,4,1,3.06,4.07,2,1,4
2,1,4,1,2.4,3.35,1,1,4
3,1,4,1,4.92,5.94,1,1,4
4,1,3,3,2.76,4.41,1,1,3
5,1,3,4,2.41,4.14,2,2,3
6,2,4,4,3.15,4.08,1,2,4
7,1,4,3,2.26,3.32,2,2,4
8,1,4,4,2.54,3.49,1,1,4
9,2,4,3,3.01,4.68,2,1,4
10,2,3,4,2,3.04,2,1,3
11,2,4,2,3.04,4.34,1,2,4
12,2,3,4,2.12,3.06,2,1,3
13,1,4,2,2.02,2.89,2,2,4
14,2,3,3,2.19,3.39,1,2,3
15,1,4,3,2.32,3.53,2,2,4
16,1,3,4,2.84,4.18,2,2,3
17,1,3,3,3.3,4.13,1,1,3
18,1,4,2,2.41,3.34,2,2,4
19,1,4,3,4.93,5.67,2,2,4
20,1,3,3,6.59,7.38,1,1,3
21,2,3,1,2.58,3.71,2,1,3
22,2,3,3,4.11,4.93,1,2,3
23,2,3,4,2.84,4.14,2,1,3
24,2,4,4,2.57,3.57,1,2,4
25,2,4,4,2.5,3.51,1,2,4
26,2,4,4,3.61,4.94,1,2,4
27,2,3,4,1.96,3.43,2,1,3
28,1,3,4,3.32,4.4,2,2,3
29,1,4,2,2.05,2.95,2,2,4
30,1,4,3,4.79,6.15,2,2,4
31,1,4,4,2.71,3.64,1,1,4
32,2,4,3,3.93,4.73,2,1,4
33,1,4,4,2.88,4.13,1,1,4
34,1,3,4,3.16,4.2,2,2,3
35,1,3,3,4.62,5.77,1,1,3
36,1,3,3,2.18,2.96,1,1,3
37,1,4,2,3.13,4.3,2,2,4
38,2,3,3,3.4,4.25,1,2,3
39,1,3,3,3.1,4.97,1,1,3
40,2,3,3,3.28,4.15,1,2,3
41,1,4,4,2.85,4.21,1,1,4
42,2,3,1,2.08,2.95,2,1,3
43,2,4,3,2.33,3.54,2,1,4
44,2,3,1,3.6,4.62,2,1,3
45,2,4,2,2.77,3.7,1,2,4
46,2,3,3,3.5,4.38,1,2,3
47,2,4,3,2.44,4.2,2,1,4
48,1,4,4,2.9,3.8,1,1,4
49,2,4,2,2.82,5.51,1,2,4
50,2,4,4,3.86,4.75,1,2,4
